"","Land","Dokumente","Quelle","Region","Kontinent"
"1","AR",39875,19,"South America","Americas"
"2","AT",60982,10,"Western Europe","Europe"
"3","AU",1382626,66,"Australia and New Zealand","Oceania"
"4","BA",739,1,"Southern Europe","Europe"
"5","BD",9010,2,"Southern Asia","Asia"
"6","BE",467007,19,"Western Europe","Europe"
"7","BG",4533,7,"Eastern Europe","Europe"
"8","BO",114,2,"South America","Americas"
"9","BR",490463,103,"South America","Americas"
"10","CA",698634,72,"Northern America ","Americas"
"11","CH",543972,18,"Western Europe","Europe"
"12","CL",28929,7,"South America","Americas"
"13","CM",4,1,"Middle Africa","Africa"
"14","CN",62696,2,"Eastern Asia","Asia"
"15","CO",117920,19,"South America","Americas"
"16","CR",1026,2,"Central America","Americas"
"17","CU",320,1,"Caribbean","Americas"
"18","CY",24548,2,"Western Asia","Asia"
"19","CZ",133073,7,"Eastern Europe","Europe"
"20","DE",1762098,216,"Western Europe","Europe"
"21","DK",181377,16,"Northern Europe","Europe"
"22","EC",25349,3,"South America","Americas"
"23","EE",104411,3,"Northern Europe","Europe"
"24","EG",2416,3,"Northern Africa","Africa"
"25","ES",1884033,126,"Southern Europe","Europe"
"26","ET",2651,1,"Eastern Africa","Africa"
"28","FI",194425,16,"Northern Europe","Europe"
"29","FR",2388978,54,"Western Europe","Europe"
"30","GE",163,1,"Western Asia","Asia"
"31","GR",107434,19,"Southern Europe","Europe"
"32","HK",126936,7,"Eastern Asia","Asia"
"33","HR",91515,5,"Southern Europe","Europe"
"34","HU",135939,10,"Eastern Europe","Europe"
"35","ID",272824,52,"South-Eastern Asia","Asia"
"36","IE",101860,15,"Northern Europe","Europe"
"37","IN",236358,43,"Southern Asia","Asia"
"38","IR",2812,2,"Southern Asia","Asia"
"39","IS",9714,3,"Northern Europe","Europe"
"40","IT",417348,95,"Southern Europe","Europe"
"41","JP",1008376,112,"Eastern Asia","Asia"
"42","KR",55372,7,"Eastern Asia","Asia"
"43","LK",6623,2,"Southern Asia","Asia"
"44","LT",26654,2,"Northern Europe","Europe"
"45","LV",656,2,"Northern Europe","Europe"
"46","MX",61333,10,"Central America","Americas"
"47","MY",82414,12,"South-Eastern Asia","Asia"
"49","NC",8520,1,"Melanesia","Oceania"
"50","NG",1329,3,"Western Africa","Africa"
"51","NL",852997,38,"Western Europe","Europe"
"52","NO",61114,47,"Northern Europe","Europe"
"53","NP",5644,4,"Southern Asia","Asia"
"54","NZ",73108,14,"Australia and New Zealand","Oceania"
"56","PE",10006,10,"South America","Americas"
"57","PH",2802,4,"South-Eastern Asia","Asia"
"58","PK",3619,2,"Southern Asia","Asia"
"59","PL",724271,69,"Eastern Europe","Europe"
"60","PR",225,1,"Caribbean","Americas"
"61","PT",100226,44,"Southern Europe","Europe"
"62","QA",3055,1,"Western Asia","Asia"
"63","RO",2614,11,"Eastern Europe","Europe"
"64","RS",13653,1,"Southern Europe","Europe"
"65","RU",15238,7,"Eastern Europe","Europe"
"66","SA",4463,1,"Western Asia","Asia"
"67","SD",206,1,"Northern Africa","Africa"
"68","SE",337049,46,"Northern Europe","Europe"
"69","SG",15440,2,"South-Eastern Asia","Asia"
"70","SI",20312,6,"Southern Europe","Europe"
"71","SK",56,1,"Eastern Europe","Europe"
"72","SN",310,1,"Western Africa","Africa"
"73","SV",1157,2,"Central America","Americas"
"74","TH",58440,8,"South-Eastern Asia","Asia"
"75","TR",52264,25,"Western Asia","Asia"
"77","UA",116353,20,"Eastern Europe","Europe"
"78","GB",1980653,155,"Northern Europe","Europe"
"79","US",14976511,396,"Northern America ","Americas"
"80","VE",11773,2,"South America","Americas"
"81","VN",4409,1,"South-Eastern Asia","Asia"
"82","ZA",155639,21,"Southern Africa","Africa"
"83","ZW",283,1,"Eastern Africa","Africa"
